2020-08-11 12:38:26,446 - Recorded info
2020-08-11 12:40:03,320 - Recorded info
2020-08-11 13:21:02,466 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:21:02,467 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1227 , 48 
2020-08-11 13:21:27,664 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1227 , 48 
2020-08-11 13:21:27,665 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:21:27,666 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1227 , 48 
2020-08-11 13:21:27,667 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:21:52,781 - >>>>>>>>1ST MX 2ND LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 150 spec is 128.887511
2020-08-11 13:21:52,782 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 150 spec is 104.218756
2020-08-11 13:21:52,783 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1190 , 85 
2020-08-11 13:22:17,891 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1216 , 59 
2020-08-11 13:22:17,892 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1244 , 31 
2020-08-11 13:22:17,893 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1216 , 59 
2020-08-11 13:22:17,894 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1244 , 31 
2020-08-11 13:22:43,679 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1174 , 101 
2020-08-11 13:22:43,680 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1245 , 30 
2020-08-11 13:22:43,682 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1174 , 101 
2020-08-11 13:22:43,683 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1245 , 30 
2020-08-11 13:23:08,927 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1261 , 14 
2020-08-11 13:23:08,928 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:23:08,928 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1261 , 14 
2020-08-11 13:23:08,929 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:23:34,206 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1184 , 91 
2020-08-11 13:23:34,207 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1226 , 49 
2020-08-11 13:23:34,208 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1184 , 91 
2020-08-11 13:23:34,208 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1226 , 49 
2020-08-11 13:23:59,375 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1202 , 73 
2020-08-11 13:23:59,376 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:23:59,377 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1202 , 73 
2020-08-11 13:23:59,378 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:24:24,512 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1220 , 55 
2020-08-11 13:24:24,513 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1275 , 0 
2020-08-11 13:24:24,514 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1220 , 55 
2020-08-11 13:24:24,515 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1275 , 0 
2020-08-11 13:24:49,894 - >>>>>>>>1ST MX 1ST LEVEL MINOR SOLID HUMIDITY @ 2 STD -> 108 spec is 104.218756
2020-08-11 13:24:49,895 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1167 , 108 
2020-08-11 13:24:49,896 - >>>>>2ND MX NO HUMIDITY @ 2 STD: 1189 , 86 
2020-08-11 13:25:15,638 - >>>>>1ST MX - NO HUMIDITY @ 1 STD: 1171 , 104 
2020-08-11 13:25:15,639 - >>>>>2ND MX NO HUMIDITY @ 1 STD: 1224 , 51 
2020-08-11 13:25:15,641 - >>>>>1ST MX - NO HUMIDITY @ 2 STD: 1171 , 104 
